No.,Item,Sub-Item,Quantity,Unit
1,LapTop Bags,,9,pieces
2,Lamp Shade,,3,pieces
3,Maasai Shuka,,3,pieces
4,Table BakuBaku,,28,pieces
5,Pochi Basi,Small,5,pieces
5,Pochi Basi,Big,5,pieces
6,Table Matt Visude,Big,1,piece
6,Table Matt Visude,Medium,4,pieces
6,Table Matt Visude,Small,10,pieces
7,Mifuko,Mama Africa,7,pieces
7,Mifuko,Zimbabwe,5,pieces
7,Mifuko,Kilimanjaro,10,pieces
8,Chesses Game,Soft Stone,5,pieces (4+1)
8,Chesses Game,Wooden,2,pieces
9,Heavy Blanket,,10,pieces
10,Pochi Uganda,,4,pieces
11,Kigoda,,1,pcs
,Kiti ngozi,,1,pcs
,Ba Bowl Stool (Nairobi),,1,pcs
11,Salad spoon,Mpingu,19,pairs
11,Salad spoon,Nairobi : Medium,14,pairs
11,Salad spoon,Nairobi : Small,21,pairs
11,Salad spoon,Mfupa,4,pairs
,Karam spoons,,96,pieces
,Chop Sticks,wood,9,pairs
,Chop Sticks,Bone,3,pairs
,Chop Sticks,metal,10,pcs
12,Pencils,,23,pieces
13,Hereni,,122,pairs
14,Wallets,MBao,1,pair
14,Wallets,Kitambaa,19,pairs
14,Wallets,Ngozi,1,pieces
18,Soft Stone,wanyama Small,37,pieces
18,Soft Stone,wanyama Medium,66,pieces
18,Soft Stone,wanyama Big,19,pieces
,Coasters,,14,pieces
,Virombe,,6,pieces
,Sahani,Big,9,pieces
,Sahani,Medium,5,pieces
,Sahani,Small,24,pieces (17+7)
,Sahani (Boat Like),Big,11,pieces
,Sahani (Boat Like),Small,4,pcs
,Tissue holder,,7,pieces
15,Malakait,Egg,1,piece
15,Malakait,Cats,6,pieces
16,Dust Bin,,1,pcs
17,Vikombe,Bati,13,pieces
17,Vikombe,Udongo,5,pieces
17,Vikombe,Glass,5,pieces
17,Vikombe,Bao,1,pieces
18,Short Glass,,45,pieces
19,Sugar holder,,18,pieces
20,Salt Shaker,,7,pairs
21,Bao Game,,1,pieces
22,Candle holder (Metal),Big,2,pairs
22,Candle holder (Metal),Medium,5,pairs (3+2)
22,Candle holder (Metal),Small,7,pairs (4+3)
,Mpingu (wood),Big,3,pairs
,Mpingu (wood),Medium,2,pairs
,Maasai Candle (Nairobi),,5,pairs
,Maasai Candle (Mpingu),,3,pieces
,Maasai Candle (Note),Maasai,5,pcs
23,Ramani (Mfupa),,2,pieces
23,Ramani (Kisara),small,4,pieces
23,Ramani (Kisara),Big,3,pieces
23,Birds hanger,,2,pcs
24,Kanawa,,3,pieces
